Name,Number of Solutions,Score,Time (Seconds)
p06,9,565,0.09653478700000001
p07,2,3771,0.28148242100000004
p08,6,4049,0.305843835
p09,17,3388,0.31332580800000004
p10,5,3983,0.06580145500000001
